City,Country,lat,long,city_temps,perc_humidity,perc_cloudiness,wind_speed
London,GB,51.51,-0.13,41.81,81,75,11.41
Milan,IT,45.46,9.19,42.8,48,0,1.12
Rikitea,PF,-23.12,-134.97,79.11,78,100,17.52
Kutum,SD,14.2,24.67,49.1,18,0,7.67
Hofn,IS,64.25,-15.21,28.15,82,100,23.33
Punta Arenas,CL,-53.15,-70.92,59.0,41,90,18.34
Vrangel,RU,42.73,133.08,36.27,76,100,7.29
Barrow,US,71.29,-156.79,-22.0,74,1,4.7
Mar del Plata,AR,-38.0,-57.56,72.0,88,0,9.17
Half Moon Bay,US,37.46,-122.43,66.69,72,20,4.7
Busselton,AU,-33.65,115.33,65.46,48,0,9.64
Claresholm,CA,50.03,-113.59,15.37,78,90,9.4
San Cristobal,VE,7.77,-72.22,87.8,52,40,11.41
Sept-Iles,CA,50.2,-66.38,26.82,73,75,16.11
Cherskiy,RU,68.75,161.3,-12.01,73,0,4.97
Bethel,US,41.37,-73.41,41.56,35,1,8.05
Vaini,TO,-21.2,-175.2,82.4,78,75,10.29
Bilma,NE,18.69,12.92,59.68,19,98,3.71
Mataura,NZ,-46.19,168.86,57.0,91,100,8.01
Abbeville,FR,50.1,1.83,40.95,81,94,8.05
Itarema,BR,-2.92,-39.92,77.56,89,1,5.7
Ushuaia,AR,-54.8,-68.3,51.8,57,40,25.28
Bichena,ET,10.45,38.2,55.45,73,90,2.91
Avarua,CK,-21.21,-159.78,82.4,78,100,12.75
Hithadhoo,MV,-0.6,73.08,82.87,77,70,9.13
Cassilandia,BR,-19.11,-51.73,79.39,86,100,3.22
Hobyo,SO,5.35,48.53,77.13,76,0,22.55
Natal,BR,-5.79,-35.21,83.3,78,40,14.99
Hilo,US,19.73,-155.09,76.73,57,20,9.17
Kaitangata,NZ,-46.28,169.85,62.01,76,100,15.21
Albany,US,42.6,-73.97,36.93,76,1,2.95
Distrikt Brokopondo,SR,4.75,-55.17,81.91,65,83,3.76
Oodweyne,SO,9.41,45.06,66.4,64,0,20.58
Orbetello,IT,42.44,11.22,44.6,87,20,2.24
Port Alfred,ZA,-33.59,26.89,66.99,91,0,1.99
Eldoret,KE,0.52,35.27,62.19,79,97,6.08
Kapaa,US,22.08,-159.32,74.79,73,75,5.82
Liverpool,GB,53.41,-2.98,37.72,86,100,8.05
Alice Springs,AU,-23.7,133.88,75.2,36,0,3.36
Serta,PT,39.81,-8.1,54.3,93,100,1.23
Ribeira Grande,PT,38.52,-28.7,59.0,87,20,5.82
Segezha,RU,63.74,34.32,30.78,90,96,13.04
New Norfolk,AU,-42.78,147.06,56.08,76,90,3.36
Provideniya,RU,64.38,-173.3,5.0,77,75,2.51
Castro,BR,-24.79,-50.01,66.4,92,50,3.22
Puerto Ayora,EC,-0.74,-90.35,86.0,66,40,20.8
Port-Gentil,GA,-0.72,8.78,84.2,79,40,9.17
Ondjiva,AO,-17.07,15.73,77.97,29,0,4.85
Bhanjanagar,IN,19.93,84.58,61.86,38,0,3.56
Hobart,AU,-42.88,147.33,55.94,76,90,3.36
Pringsewu,ID,-5.36,104.97,72.03,97,100,1.59
Anshun,CN,26.25,105.93,49.75,96,3,2.42
Helena,US,46.59,-112.04,26.71,50,90,3.36
